"participant","group","time","score"
39,"flash card","after semester",29
40,"flash card","after semester",42
41,"extensive reading","before semester",58
42,"extensive reading","before semester",46
43,"extensive reading","before semester",59
44,"extensive reading","before semester",46
45,"extensive reading","before semester",59
46,"extensive reading","before semester",35
47,"extensive reading","before semester",42
48,"extensive reading","before semester",56
49,"extensive reading","before semester",73
50,"extensive reading","before semester",67
51,"extensive reading","before semester",42
52,"extensive reading","before semester",71
53,"extensive reading","before semester",65
54,"extensive reading","before semester",54
55,"extensive reading","before semester",49
56,"extensive reading","before semester",46
57,"extensive reading","before semester",31
58,"extensive reading","before semester",56
59,"extensive reading","before semester",39
60,"extensive reading","before semester",45
61,"extensive reading","before semester",59
62,"extensive reading","before semester",67
63,"extensive reading","before semester",35
64,"extensive reading","before semester",57
65,"extensive reading","before semester",70
66,"extensive reading","before semester",42
67,"extensive reading","before semester",68
68,"extensive reading","before semester",39
69,"extensive reading","before semester",43
70,"extensive reading","before semester",37
71,"extensive reading","before semester",57
72,"extensive reading","before semester",41
73,"extensive reading","before semester",50
74,"extensive reading","before semester",43
75,"extensive reading","before semester",58
76,"extensive reading","before semester",77
77,"extensive reading","before semester",56
78,"extensive reading","before semester",54
79,"extensive reading","before semester",44
80,"extensive reading","before semester",43
41,"extensive reading","after semester",62
42,"extensive reading","after semester",66
43,"extensive reading","after semester",67
44,"extensive reading","after semester",71
45,"extensive reading","after semester",66
46,"extensive reading","after semester",78
47,"extensive reading","after semester",64
48,"extensive reading","after semester",62
49,"extensive reading","after semester",58
50,"extensive reading","after semester",68
51,"extensive reading","after semester",52
52,"extensive reading","after semester",63
53,"extensive reading","after semester",65
54,"extensive reading","after semester",72
55,"extensive reading","after semester",73
56,"extensive reading","after semester",64
57,"extensive reading","after semester",72
58,"extensive reading","after semester",60
59,"extensive reading","after semester",56
60,"extensive reading","after semester",67
61,"extensive reading","after semester",57
62,"extensive reading","after semester",75
63,"extensive reading","after semester",79
64,"extensive reading","after semester",67
65,"extensive reading","after semester",63
66,"extensive reading","after semester",75
67,"extensive reading","after semester",64
68,"extensive reading","after semester",70
69,"extensive reading","after semester",75
70,"extensive reading","after semester",59
71,"extensive reading","after semester",61
72,"extensive reading","after semester",58
73,"extensive reading","after semester",93
74,"extensive reading","after semester",81
75,"extensive reading","after semester",63
76,"extensive reading","after semester",69
77,"extensive reading","after semester",62
78,"extensive reading","after semester",75
79,"extensive reading","after semester",77
80,"extensive reading","after semester",69
81,"intensive reading","before semester",46
82,"intensive reading","before semester",36
83,"intensive reading","before semester",37
84,"intensive reading","before semester",39
85,"intensive reading","before semester",52
86,"intensive reading","before semester",60
87,"intensive reading","before semester",45
88,"intensive reading","before semester",62
89,"intensive reading","before semester",47
90,"intensive reading","before semester",51
91,"intensive reading","before semester",69
92,"intensive reading","before semester",48
93,"intensive reading","before semester",49
94,"intensive reading","before semester",34
95,"intensive reading","before semester",44
96,"intensive reading","before semester",48
97,"intensive reading","before semester",39
98,"intensive reading","before semester",54
99,"intensive reading","before semester",65
100,"intensive reading","before semester",49
101,"intensive reading","before semester",55
102,"intensive reading","before semester",48
103,"intensive reading","before semester",51
104,"intensive reading","before semester",59
105,"intensive reading","before semester",49
106,"intensive reading","before semester",51
107,"intensive reading","before semester",55
108,"intensive reading","before semester",64
109,"intensive reading","before semester",47
110,"intensive reading","before semester",45
111,"intensive reading","before semester",61
112,"intensive reading","before semester",26
113,"intensive reading","before semester",54
114,"intensive reading","before semester",47
115,"intensive reading","before semester",41
116,"intensive reading","before semester",55
117,"intensive reading","before semester",54
118,"intensive reading","before semester",54
119,"intensive reading","before semester",45
120,"intensive reading","before semester",61
81,"intensive reading","after semester",62
82,"intensive reading","after semester",77
83,"intensive reading","after semester",52
84,"intensive reading","after semester",79
85,"intensive reading","after semester",45
86,"intensive reading","after semester",48
87,"intensive reading","after semester",50
88,"intensive reading","after semester",65
89,"intensive reading","after semester",49
90,"intensive reading","after semester",58
91,"intensive reading","after semester",55
92,"intensive reading","after semester",57
93,"intensive reading","after semester",40
94,"intensive reading","after semester",52
95,"intensive reading","after semester",65
96,"intensive reading","after semester",54
97,"intensive reading","after semester",62
98,"intensive reading","after semester",46
99,"intensive reading","after semester",62
100,"intensive reading","after semester",53
101,"intensive reading","after semester",49
102,"intensive reading","after semester",34
103,"intensive reading","after semester",58
104,"intensive reading","after semester",53
105,"intensive reading","after semester",33
106,"intensive reading","after semester",41
107,"intensive reading","after semester",76
108,"intensive reading","after semester",63
109,"intensive reading","after semester",53
110,"intensive reading","after semester",57
111,"intensive reading","after semester",52
112,"intensive reading","after semester",46
113,"intensive reading","after semester",66
114,"intensive reading","after semester",51
115,"intensive reading","after semester",46
116,"intensive reading","after semester",62
117,"intensive reading","after semester",64
118,"intensive reading","after semester",53
119,"intensive reading","after semester",53
120,"intensive reading","after semester",56
1,"flash card","after semester",43
2,"flash card","after semester",63
3,"flash card","after semester",54
4,"flash card","after semester",30
5,"flash card","after semester",54
6,"flash card","after semester",41
7,"flash card","after semester",44
8,"flash card","after semester",35
9,"flash card","after semester",56
10,"flash card","after semester",55
11,"flash card","after semester",59
12,"flash card","after semester",59
13,"flash card","after semester",60
14,"flash card","after semester",52
15,"flash card","after semester",45
16,"flash card","after semester",67
17,"flash card","after semester",59
18,"flash card","after semester",45
19,"flash card","after semester",44
20,"flash card","after semester",56
21,"flash card","after semester",53
22,"flash card","after semester",55
23,"flash card","after semester",48
24,"flash card","after semester",47
25,"flash card","after semester",30
26,"flash card","after semester",56
27,"flash card","after semester",43
28,"flash card","after semester",59
29,"flash card","after semester",47
30,"flash card","after semester",55
31,"flash card","after semester",51
32,"flash card","after semester",31
33,"flash card","after semester",52
34,"flash card","after semester",48
35,"flash card","after semester",62
36,"flash card","after semester",40
37,"flash card","after semester",52
38,"flash card","after semester",51
39,"flash card","after semester",29
40,"flash card","after semester",42
41,"extensive reading","before semester",58
42,"extensive reading","before semester",46
43,"extensive reading","before semester",59
44,"extensive reading","before semester",46
45,"extensive reading","before semester",59
46,"extensive reading","before semester",35
47,"extensive reading","before semester",42
48,"extensive reading","before semester",56
49,"extensive reading","before semester",73
50,"extensive reading","before semester",67
51,"extensive reading","before semester",42
52,"extensive reading","before semester",71
53,"extensive reading","before semester",65
54,"extensive reading","before semester",54
55,"extensive reading","before semester",49
56,"extensive reading","before semester",46
57,"extensive reading","before semester",31
58,"extensive reading","before semester",56
59,"extensive reading","before semester",39
60,"extensive reading","before semester",45
61,"extensive reading","before semester",59
62,"extensive reading","before semester",67
63,"extensive reading","before semester",35
64,"extensive reading","before semester",57
65,"extensive reading","before semester",70
66,"extensive reading","before semester",42
67,"extensive reading","before semester",68
68,"extensive reading","before semester",39
69,"extensive reading","before semester",43
70,"extensive reading","before semester",37
71,"extensive reading","before semester",57
72,"extensive reading","before semester",41
73,"extensive reading","before semester",50
74,"extensive reading","before semester",43
75,"extensive reading","before semester",58
76,"extensive reading","before semester",77
77,"extensive reading","before semester",56
78,"extensive reading","before semester",54
79,"extensive reading","before semester",44
80,"extensive reading","before semester",43
41,"extensive reading","after semester",62
42,"extensive reading","after semester",66
43,"extensive reading","after semester",67
44,"extensive reading","after semester",71
45,"extensive reading","after semester",66
46,"extensive reading","after semester",78
47,"extensive reading","after semester",64
48,"extensive reading","after semester",62
49,"extensive reading","after semester",58
50,"extensive reading","after semester",68
51,"extensive reading","after semester",52
52,"extensive reading","after semester",63
53,"extensive reading","after semester",65
54,"extensive reading","after semester",72
55,"extensive reading","after semester",73
56,"extensive reading","after semester",64
57,"extensive reading","after semester",72
58,"extensive reading","after semester",60
59,"extensive reading","after semester",56
60,"extensive reading","after semester",67
61,"extensive reading","after semester",57
62,"extensive reading","after semester",75
63,"extensive reading","after semester",79
64,"extensive reading","after semester",67
65,"extensive reading","after semester",63
66,"extensive reading","after semester",75
67,"extensive reading","after semester",64
68,"extensive reading","after semester",70
69,"extensive reading","after semester",75
70,"extensive reading","after semester",59
71,"extensive reading","after semester",61
72,"extensive reading","after semester",58
73,"extensive reading","after semester",93
74,"extensive reading","after semester",81
75,"extensive reading","after semester",63
76,"extensive reading","after semester",69
77,"extensive reading","after semester",62
78,"extensive reading","after semester",75
79,"extensive reading","after semester",77
80,"extensive reading","after semester",69
81,"intensive reading","before semester",46
82,"intensive reading","before semester",36
83,"intensive reading","before semester",37
84,"intensive reading","before semester",39
85,"intensive reading","before semester",52
86,"intensive reading","before semester",60
87,"intensive reading","before semester",45
88,"intensive reading","before semester",62
89,"intensive reading","before semester",47
90,"intensive reading","before semester",51
91,"intensive reading","before semester",69
92,"intensive reading","before semester",48
93,"intensive reading","before semester",49
94,"intensive reading","before semester",34
95,"intensive reading","before semester",44
96,"intensive reading","before semester",48
97,"intensive reading","before semester",39
98,"intensive reading","before semester",54
99,"intensive reading","before semester",65
100,"intensive reading","before semester",49
101,"intensive reading","before semester",55
102,"intensive reading","before semester",48
103,"intensive reading","before semester",51
104,"intensive reading","before semester",59
105,"intensive reading","before semester",49
106,"intensive reading","before semester",51
107,"intensive reading","before semester",55
108,"intensive reading","before semester",64
109,"intensive reading","before semester",47
110,"intensive reading","before semester",45
111,"intensive reading","before semester",61
112,"intensive reading","before semester",26
113,"intensive reading","before semester",54
114,"intensive reading","before semester",47
115,"intensive reading","before semester",41
116,"intensive reading","before semester",55
117,"intensive reading","before semester",54
118,"intensive reading","before semester",54
119,"intensive reading","before semester",45
120,"intensive reading","before semester",61
81,"intensive reading","after semester",62
82,"intensive reading","after semester",77
83,"intensive reading","after semester",52
84,"intensive reading","after semester",79
85,"intensive reading","after semester",45
86,"intensive reading","after semester",48
87,"intensive reading","after semester",50
88,"intensive reading","after semester",65
89,"intensive reading","after semester",49
90,"intensive reading","after semester",58
91,"intensive reading","after semester",55
92,"intensive reading","after semester",57
93,"intensive reading","after semester",40
94,"intensive reading","after semester",52
95,"intensive reading","after semester",65
96,"intensive reading","after semester",54
97,"intensive reading","after semester",62
98,"intensive reading","after semester",46
99,"intensive reading","after semester",62
100,"intensive reading","after semester",53
101,"intensive reading","after semester",49
102,"intensive reading","after semester",34
103,"intensive reading","after semester",58
104,"intensive reading","after semester",53
105,"intensive reading","after semester",33
106,"intensive reading","after semester",41
107,"intensive reading","after semester",76
108,"intensive reading","after semester",63
109,"intensive reading","after semester",53
110,"intensive reading","after semester",57
111,"intensive reading","after semester",52
112,"intensive reading","after semester",46
113,"intensive reading","after semester",66
114,"intensive reading","after semester",51
115,"intensive reading","after semester",46
116,"intensive reading","after semester",62
117,"intensive reading","after semester",64
118,"intensive reading","after semester",53
119,"intensive reading","after semester",53
120,"intensive reading","after semester",56
